date,season,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2022-10-18,2023,BOS,PHI,1657.6,1582.2,0.73,0.27,1662.2,1577.7,1693.2,1641.9,0.67,0.33,126.0,117.0,96,13,55
2022-10-18,2023,GSW,LAL,1660.6,1442.4,0.86,0.14,1663.4,1439.5,1615.7,1472.2,0.78,0.22,123.0,109.0,67,20,44
2022-10-19,2023,DET,ORL,1393.5,1366.1,0.68,0.32,1397.2,1362.4,1309.0,1349.9,0.56,0.44,113.0,109.0,3,1,2
2022-10-19,2023,IND,WAS,1399.2,1440.1,0.58,0.42,1388.9,1450.4,1462.4,1472.0,0.6,0.4,107.0,114.0,37,28,33
2022-10-19,2023,ATL,HOU,1535.4,1351.2,0.84,0.16,1538.2,1348.4,1618.3,1283.3,0.92,0.08,117.0,107.0,24,1,13
2022-10-19,2023,MIA,CHI,1618.0,1447.5,0.83,0.17,1598.8,1466.6,1649.0,1494.4,0.79,0.21,108.0,116.0,76,19,48
2022-10-19,2023,BRK,NOP,1528.5,1534.7,0.63,0.37,1504.5,1558.6,1602.2,1560.6,0.67,0.33,108.0,130.0,80,44,62
2022-10-19,2023,MEM,NYK,1605.0,1520.4,0.74,0.26,1607.5,1517.9,1612.0,1549.9,0.69,0.31,115.0,112.0,80,25,53
2022-10-19,2023,TOR,CLE,1553.5,1488.4,0.72,0.28,1556.3,1485.6,1626.4,1581.8,0.66,0.34,108.0,105.0,86,40,63
2022-10-19,2023,MIN,OKC,1542.3,1366.1,0.83,0.17,1544.6,1363.7,1608.6,1336.0,0.89,0.11,115.0,108.0,34,4,19
2022-10-19,2023,SAS,CHO,1490.0,1527.4,0.59,0.41,1464.9,1552.6,1446.2,1490.3,0.56,0.44,102.0,129.0,37,34,36
2022-10-19,2023,UTA,DEN,1551.8,1525.0,0.67,0.33,1561.8,1515.0,1511.3,1649.7,0.46,0.54,123.0,102.0,79,32,56
2022-10-19,2023,PHO,DAL,1588.4,1600.3,0.62,0.38,1591.8,1596.9,1631.1,1641.2,0.61,0.39,107.0,105.0,92,19,56
2022-10-19,2023,SAC,POR,1413.5,1316.0,0.76,0.24,1398.3,1331.1,1453.7,1506.2,0.53,0.47,108.0,115.0,42,49,46
2022-10-20,2023,PHI,MIL,1577.7,1584.1,0.63,0.37,1571.1,1590.7,1634.9,1593.6,0.66,0.34,88.0,90.0,88,28,58
2022-10-20,2023,LAL,LAC,1439.5,1519.6,0.53,0.47,1431.2,1527.9,1451.5,1602.0,0.39,0.61,97.0,103.0,60,39,50
2022-10-21,2023,WAS,CHI,1450.4,1466.6,0.62,0.38,1453.9,1463.2,1465.5,1498.5,0.56,0.44,102.0,100.0,43,36,40
2022-10-21,2023,CHO,NOP,1552.6,1558.6,0.63,0.37,1536.7,1574.5,1464.2,1574.9,0.45,0.55,112.0,124.0,58,53,56
2022-10-21,2023,IND,SAS,1388.9,1464.9,0.53,0.47,1382.8,1471.0,1447.7,1435.8,0.63,0.37,134.0,137.0,27,15,21
2022-10-21,2023,NYK,DET,1517.9,1397.2,0.78,0.22,1524.8,1390.3,1549.2,1309.5,0.85,0.15,130.0,106.0,21,8,15
2022-10-21,2023,ATL,ORL,1538.2,1362.4,0.83,0.17,1541.0,1359.5,1612.9,1330.3,0.89,0.11,108.0,98.0,33,3,18
