team 2,team 1,Date MSK,WIN 2,WIN 1,Handicap 2,Coef. Handicap 2,Handicap 1,Coef. Handicap 1,Game points,< Game points,> Game points,Date Eastern
MIN,IND,24 ноя 03:00,1.87,1.99,-1.0,1.92,+1.0,1.92,235.5,1.93,1.89,2022-11-23
POR,CLE,24 ноя 03:00,3.66,1.31,+8.5,1.85,-8.5,2.0,217.0,1.9,1.92,2022-11-23
PHI,CHO,24 ноя 03:00,2.48,1.58,+3.5,1.96,-3.5,1.88,214.5,1.909,1.909,2022-11-23
BRK,TOR,24 ноя 03:30,2.14,1.76,+2.0,1.93,-2.0,1.909,221.5,1.94,1.88,2022-11-23
WAS,MIA,24 ноя 03:30,2.06,1.82,+1.5,1.92,-1.5,1.92,212.0,1.9,1.92,2022-11-23
DAL,BOS,24 ноя 03:30,2.6,1.62,+4.0,1.99,-4.0,2.0,219.0,1.97,2.02,2022-11-23
SAC,ATL,24 ноя 03:30,2.92,1.44,+6.0,1.86,-6.0,1.98,239.0,1.94,1.88,2022-11-23
DEN,OKC,24 ноя 04:00,1.73,2.18,-2.5,1.96,+2.5,1.88,229.0,1.909,1.909,2022-11-23
NOP,SAS,24 ноя 04:00,1.33,3.52,-7.5,1.93,+7.5,1.909,232.5,1.9,1.92,2022-11-23
CHI,MIL,24 ноя 04:00,3.75,1.36,+7.5,1.99,-7.5,2.0,219.0,2.05,1.94,2022-11-23
DET,UTA,24 ноя 05:00,5.3,1.179,+11.5,1.89,-11.5,1.95,228.5,1.93,1.89,2022-11-23
LAC,GSW,24 ноя 06:00,3.92,1.28,+9.0,1.88,-9.0,1.96,222.0,1.96,1.86,2022-11-23
